Slots: 5, Shifts: 1, Iterations: 10, Clashes: 540
Slots: 5, Shifts: 1, Iterations: 20, Clashes: 540
Slots: 5, Shifts: 1, Iterations: 30, Clashes: 540
Slots: 5, Shifts: 1, Iterations: 40, Clashes: 540
Slots: 5, Shifts: 1, Iterations: 50, Clashes: 540
Slots: 5, Shifts: 2, Iterations: 10, Clashes: 584
Slots: 5, Shifts: 2, Iterations: 20, Clashes: 572
Slots: 5, Shifts: 2, Iterations: 30, Clashes: 572
Slots: 5, Shifts: 2, Iterations: 40, Clashes: 544
Slots: 5, Shifts: 2, Iterations: 50, Clashes: 506
Slots: 5, Shifts: 3, Iterations: 10, Clashes: 504
Slots: 5, Shifts: 3, Iterations: 20, Clashes: 502
Slots: 5, Shifts: 3, Iterations: 30, Clashes: 500
Slots: 5, Shifts: 3, Iterations: 40, Clashes: 500
Slots: 5, Shifts: 3, Iterations: 50, Clashes: 500
Slots: 5, Shifts: 4, Iterations: 10, Clashes: 500
Slots: 5, Shifts: 4, Iterations: 20, Clashes: 500
Slots: 5, Shifts: 4, Iterations: 30, Clashes: 500
Slots: 5, Shifts: 4, Iterations: 40, Clashes: 500
Slots: 5, Shifts: 4, Iterations: 50, Clashes: 500
Slots: 5, Shifts: 5, Iterations: 10, Clashes: 1066
Slots: 5, Shifts: 5, Iterations: 20, Clashes: 1066
Slots: 5, Shifts: 5, Iterations: 30, Clashes: 1066
Slots: 5, Shifts: 5, Iterations: 40, Clashes: 1066
Slots: 5, Shifts: 5, Iterations: 50, Clashes: 1066
Slots: 10, Shifts: 1, Iterations: 10, Clashes: 52
Slots: 10, Shifts: 1, Iterations: 20, Clashes: 46
Slots: 10, Shifts: 1, Iterations: 30, Clashes: 34
Slots: 10, Shifts: 1, Iterations: 40, Clashes: 34
Slots: 10, Shifts: 1, Iterations: 50, Clashes: 34
Slots: 10, Shifts: 2, Iterations: 10, Clashes: 44
Slots: 10, Shifts: 2, Iterations: 20, Clashes: 32
Slots: 10, Shifts: 2, Iterations: 30, Clashes: 32
Slots: 10, Shifts: 2, Iterations: 40, Clashes: 32
Slots: 10, Shifts: 2, Iterations: 50, Clashes: 32
Slots: 10, Shifts: 3, Iterations: 10, Clashes: 36
Slots: 10, Shifts: 3, Iterations: 20, Clashes: 26
Slots: 10, Shifts: 3, Iterations: 30, Clashes: 26
Slots: 10, Shifts: 3, Iterations: 40, Clashes: 26
Slots: 10, Shifts: 3, Iterations: 50, Clashes: 26
Slots: 10, Shifts: 4, Iterations: 10, Clashes: 90
Slots: 10, Shifts: 4, Iterations: 20, Clashes: 40
Slots: 10, Shifts: 4, Iterations: 30, Clashes: 40
Slots: 10, Shifts: 4, Iterations: 40, Clashes: 40
Slots: 10, Shifts: 4, Iterations: 50, Clashes: 40
Slots: 10, Shifts: 5, Iterations: 10, Clashes: 60
Slots: 10, Shifts: 5, Iterations: 20, Clashes: 58
Slots: 10, Shifts: 5, Iterations: 30, Clashes: 58
Slots: 10, Shifts: 5, Iterations: 40, Clashes: 58
Slots: 10, Shifts: 5, Iterations: 50, Clashes: 58
Slots: 15, Shifts: 1, Iterations: 10, Clashes: 46
Slots: 15, Shifts: 1, Iterations: 20, Clashes: 0
Slots: 15, Shifts: 1, Iterations: 30, Clashes: 0
Slots: 15, Shifts: 1, Iterations: 40, Clashes: 0
Slots: 15, Shifts: 1, Iterations: 50, Clashes: 0
Slots: 15, Shifts: 2, Iterations: 10, Clashes: 0
Slots: 15, Shifts: 2, Iterations: 20, Clashes: 0
Slots: 15, Shifts: 2, Iterations: 30, Clashes: 0
Slots: 15, Shifts: 2, Iterations: 40, Clashes: 0
Slots: 15, Shifts: 2, Iterations: 50, Clashes: 0
Slots: 15, Shifts: 3, Iterations: 10, Clashes: 0
Slots: 15, Shifts: 3, Iterations: 20, Clashes: 0
Slots: 15, Shifts: 3, Iterations: 30, Clashes: 0
Slots: 15, Shifts: 3, Iterations: 40, Clashes: 0
Slots: 15, Shifts: 3, Iterations: 50, Clashes: 0
Slots: 15, Shifts: 4, Iterations: 10, Clashes: 0
Slots: 15, Shifts: 4, Iterations: 20, Clashes: 0
Slots: 15, Shifts: 4, Iterations: 30, Clashes: 0
Slots: 15, Shifts: 4, Iterations: 40, Clashes: 0
Slots: 15, Shifts: 4, Iterations: 50, Clashes: 0
Slots: 15, Shifts: 5, Iterations: 10, Clashes: 0
Slots: 15, Shifts: 5, Iterations: 20, Clashes: 0
Slots: 15, Shifts: 5, Iterations: 30, Clashes: 0
Slots: 15, Shifts: 5, Iterations: 40, Clashes: 0
Slots: 15, Shifts: 5, Iterations: 50, Clashes: 0
Slots: 20, Shifts: 1, Iterations: 10, Clashes: 46
Slots: 20, Shifts: 1, Iterations: 20, Clashes: 0
Slots: 20, Shifts: 1, Iterations: 30, Clashes: 0
Slots: 20, Shifts: 1, Iterations: 40, Clashes: 0
Slots: 20, Shifts: 1, Iterations: 50, Clashes: 0
Slots: 20, Shifts: 2, Iterations: 10, Clashes: 0
Slots: 20, Shifts: 2, Iterations: 20, Clashes: 0
Slots: 20, Shifts: 2, Iterations: 30, Clashes: 0
Slots: 20, Shifts: 2, Iterations: 40, Clashes: 0
Slots: 20, Shifts: 2, Iterations: 50, Clashes: 0
Slots: 20, Shifts: 3, Iterations: 10, Clashes: 0
Slots: 20, Shifts: 3, Iterations: 20, Clashes: 0
Slots: 20, Shifts: 3, Iterations: 30, Clashes: 0
Slots: 20, Shifts: 3, Iterations: 40, Clashes: 0
Slots: 20, Shifts: 3, Iterations: 50, Clashes: 0
Slots: 20, Shifts: 4, Iterations: 10, Clashes: 0
Slots: 20, Shifts: 4, Iterations: 20, Clashes: 0
Slots: 20, Shifts: 4, Iterations: 30, Clashes: 0
Slots: 20, Shifts: 4, Iterations: 40, Clashes: 0
Slots: 20, Shifts: 4, Iterations: 50, Clashes: 0
Slots: 20, Shifts: 5, Iterations: 10, Clashes: 0
Slots: 20, Shifts: 5, Iterations: 20, Clashes: 0
Slots: 20, Shifts: 5, Iterations: 30, Clashes: 0
Slots: 20, Shifts: 5, Iterations: 40, Clashes: 0
Slots: 20, Shifts: 5, Iterations: 50, Clashes: 0
Slots: 25, Shifts: 22, Iterations: 720, Clashes: 0
Slots: 30, Shifts: 20, Iterations: 74, Clashes: 0
Slots: 19, Shifts: 16, Iterations: 368, Clashes: 0
Slots: 24, Shifts: 17, Iterations: 423, Clashes: 0
Slots: 27, Shifts: 19, Iterations: 30, Clashes: 0
Slots: 16, Shifts: 17, Iterations: 119, Clashes: 0
Slots: 19, Shifts: 23, Iterations: 860, Clashes: 0
Slots: 12, Shifts: 18, Iterations: 291, Clashes: 2
Slots: 6, Shifts: 20, Iterations: 751, Clashes: 472
Slots: 29, Shifts: 22, Iterations: 464, Clashes: 0
Slots: 24, Shifts: 18, Iterations: 723, Clashes: 0
Slots: 11, Shifts: 20, Iterations: 580, Clashes: 12
Slots: 28, Shifts: 24, Iterations: 980, Clashes: 0
Slots: 9, Shifts: 15, Iterations: 271, Clashes: 72
Slots: 23, Shifts: 23, Iterations: 214, Clashes: 0
Slots: 5, Shifts: 16, Iterations: 189, Clashes: 560
Slots: 13, Shifts: 23, Iterations: 292, Clashes: 0
Slots: 14, Shifts: 15, Iterations: 779, Clashes: 0
Slots: 14, Shifts: 15, Iterations: 91, Clashes: 0
Slots: 13, Shifts: 25, Iterations: 369, Clashes: 0
Slots: 7, Shifts: 17, Iterations: 334, Clashes: 200
Slots: 25, Shifts: 25, Iterations: 866, Clashes: 0
Slots: 15, Shifts: 16, Iterations: 690, Clashes: 0
Slots: 14, Shifts: 25, Iterations: 15, Clashes: 0
Slots: 16, Shifts: 23, Iterations: 621, Clashes: 0
Slots: 16, Shifts: 23, Iterations: 23, Clashes: 0
Slots: 16, Shifts: 18, Iterations: 977, Clashes: 0
Slots: 8, Shifts: 16, Iterations: 936, Clashes: 308
Slots: 7, Shifts: 18, Iterations: 697, Clashes: 190
Slots: 8, Shifts: 16, Iterations: 530, Clashes: 308
Slots: 17, Shifts: 21, Iterations: 201, Clashes: 0
Slots: 9, Shifts: 23, Iterations: 250, Clashes: 106
Slots: 30, Shifts: 16, Iterations: 238, Clashes: 0
Slots: 7, Shifts: 20, Iterations: 757, Clashes: 228
Slots: 21, Shifts: 16, Iterations: 609, Clashes: 0
Slots: 17, Shifts: 20, Iterations: 982, Clashes: 0
Slots: 26, Shifts: 25, Iterations: 735, Clashes: 0
Slots: 20, Shifts: 18, Iterations: 448, Clashes: 0
Slots: 14, Shifts: 16, Iterations: 409, Clashes: 0
Slots: 14, Shifts: 23, Iterations: 999, Clashes: 0
Slots: 23, Shifts: 16, Iterations: 506, Clashes: 0
Slots: 25, Shifts: 25, Iterations: 580, Clashes: 0
Slots: 19, Shifts: 23, Iterations: 646, Clashes: 0
Slots: 12, Shifts: 16, Iterations: 278, Clashes: 2
Slots: 25, Shifts: 15, Iterations: 581, Clashes: 0
Slots: 16, Shifts: 20, Iterations: 538, Clashes: 0
Slots: 19, Shifts: 24, Iterations: 545, Clashes: 0
Slots: 7, Shifts: 22, Iterations: 938, Clashes: 276
Slots: 28, Shifts: 25, Iterations: 441, Clashes: 0
Slots: 21, Shifts: 25, Iterations: 277, Clashes: 0
Slots: 25, Shifts: 19, Iterations: 200, Clashes: 0
Slots: 24, Shifts: 22, Iterations: 649, Clashes: 0
Slots: 24, Shifts: 16, Iterations: 119, Clashes: 0
Slots: 18, Shifts: 19, Iterations: 584, Clashes: 0
Slots: 24, Shifts: 16, Iterations: 881, Clashes: 0
Slots: 27, Shifts: 21, Iterations: 836, Clashes: 0
Slots: 8, Shifts: 20, Iterations: 999, Clashes: 254
Slots: 16, Shifts: 18, Iterations: 368, Clashes: 0
Slots: 21, Shifts: 16, Iterations: 785, Clashes: 0
Slots: 12, Shifts: 25, Iterations: 379, Clashes: 4
Slots: 17, Shifts: 19, Iterations: 547, Clashes: 0
Slots: 30, Shifts: 15, Iterations: 234, Clashes: 0
Slots: 24, Shifts: 16, Iterations: 84, Clashes: 0
Slots: 13, Shifts: 19, Iterations: 880, Clashes: 0
Slots: 5, Shifts: 16, Iterations: 470, Clashes: 556
Slots: 11, Shifts: 24, Iterations: 835, Clashes: 12
Slots: 20, Shifts: 22, Iterations: 802, Clashes: 0
Slots: 19, Shifts: 15, Iterations: 506, Clashes: 0
Slots: 12, Shifts: 17, Iterations: 213, Clashes: 2
Slots: 18, Shifts: 19, Iterations: 248, Clashes: 0
Slots: 6, Shifts: 22, Iterations: 99, Clashes: 386
Slots: 5, Shifts: 20, Iterations: 671, Clashes: 1066
Slots: 30, Shifts: 17, Iterations: 256, Clashes: 0
Slots: 29, Shifts: 19, Iterations: 855, Clashes: 0
Slots: 7, Shifts: 15, Iterations: 511, Clashes: 276
Slots: 7, Shifts: 19, Iterations: 853, Clashes: 214
Slots: 6, Shifts: 23, Iterations: 316, Clashes: 384
Slots: 12, Shifts: 20, Iterations: 977, Clashes: 2
Slots: 10, Shifts: 24, Iterations: 962, Clashes: 72
Slots: 16, Shifts: 25, Iterations: 774, Clashes: 0
Slots: 29, Shifts: 22, Iterations: 678, Clashes: 0
Slots: 11, Shifts: 20, Iterations: 271, Clashes: 12
Slots: 16, Shifts: 25, Iterations: 893, Clashes: 0
Slots: 19, Shifts: 20, Iterations: 897, Clashes: 0
Slots: 6, Shifts: 19, Iterations: 350, Clashes: 404
Slots: 13, Shifts: 18, Iterations: 549, Clashes: 0
Slots: 8, Shifts: 22, Iterations: 637, Clashes: 158
Slots: 26, Shifts: 20, Iterations: 72, Clashes: 0
Slots: 9, Shifts: 25, Iterations: 969, Clashes: 106
Slots: 19, Shifts: 17, Iterations: 716, Clashes: 0
Slots: 10, Shifts: 24, Iterations: 689, Clashes: 72
Slots: 16, Shifts: 24, Iterations: 39, Clashes: 0
Slots: 7, Shifts: 20, Iterations: 95, Clashes: 228
Slots: 20, Shifts: 20, Iterations: 94, Clashes: 0
Slots: 8, Shifts: 18, Iterations: 807, Clashes: 254
Slots: 17, Shifts: 18, Iterations: 815, Clashes: 0
Slots: 18, Shifts: 21, Iterations: 704, Clashes: 0
Slots: 9, Shifts: 22, Iterations: 759, Clashes: 66
Slots: 5, Shifts: 23, Iterations: 655, Clashes: 444
Slots: 7, Shifts: 23, Iterations: 201, Clashes: 238
Slots: 17, Shifts: 15, Iterations: 712, Clashes: 0
Slots: 6, Shifts: 25, Iterations: 871, Clashes: 404
Slots: 6, Shifts: 22, Iterations: 860, Clashes: 386
Slots: 18, Shifts: 25, Iterations: 303, Clashes: 0
Slots: 16, Shifts: 17, Iterations: 617, Clashes: 0
Slots: 28, Shifts: 16, Iterations: 182, Clashes: 0
Slots: 10, Shifts: 20, Iterations: 738, Clashes: 62
Slots: 23, Shifts: 22, Iterations: 723, Clashes: 0
